,Unnamed: 0,Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number,No.,Position
37039,20773,182,31,127,0.181,Chirp,1,5,1,1.279921875
37040,20705,176,34,65,0.182,Chirp,1,5,1,-143.84300000000042
37041,20773,182,31,127,0.182,Chirp,1,5,1,1.279921875
37042,20706,176,34,65,0.183,Chirp,1,5,1,-143.8420000000004
37043,20773,182,31,127,0.183,Chirp,1,5,1,1.279921875
37044,20707,176,34,63,0.184,Chirp,1,5,1,-143.8470000000004
37045,20773,182,31,127,0.184,Chirp,1,5,1,1.279921875
37046,20707,176,34,63,0.185,Chirp,1,5,1,-143.8470000000004
37047,20773,182,31,127,0.185,Chirp,1,5,1,1.279921875
37048,20707,176,34,63,0.186,Chirp,1,5,1,-143.8470000000004
37049,20773,182,31,127,0.186,Chirp,1,5,1,1.279921875
37050,20707,176,34,63,0.187,Chirp,1,5,1,-143.8470000000004
37051,20773,182,31,127,0.187,Chirp,1,5,1,1.279921875
37052,20707,176,34,63,0.188,Chirp,1,5,1,-143.8470000000004
37053,20773,182,31,127,0.188,Chirp,1,5,1,1.279921875
37054,20708,176,34,63,0.189,Chirp,1,5,1,-143.8480000000004
37055,20773,182,31,127,0.189,Chirp,1,5,1,1.279921875
37056,20709,176,34,63,0.19,Chirp,1,5,1,-143.84900000000042
37057,20773,182,31,127,0.19,Chirp,1,5,1,1.279921875
37058,20710,176,34,62,0.191,Chirp,1,5,1,-143.8530000000004
37059,20773,182,31,127,0.191,Chirp,1,5,1,1.279921875
37060,20710,176,34,62,0.192,Chirp,1,5,1,-143.8530000000004
37061,20773,182,31,127,0.192,Chirp,1,5,1,1.279921875
37062,20711,176,34,63,0.193,Chirp,1,5,1,-143.85500000000042
37063,20773,182,31,127,0.193,Chirp,1,5,1,1.279921875
37064,20711,176,34,63,0.194,Chirp,1,5,1,-143.85500000000042
37065,20773,182,31,127,0.194,Chirp,1,5,1,1.279921875
37066,20713,176,34,62,0.195,Chirp,1,5,1,-143.85700000000045
37067,20773,182,31,127,0.195,Chirp,1,5,1,1.279921875
